 Set,,,,,,
 Yeah but the design is 🔥,,,,,,
 Are we putting it in DISEC hall ;),,,,,,
 Nope 🙂,,,,,,
 😏,,,,,,
 Nahh. We already have one,,,,,,
 That'll be for the one near the front gate,,,,,,
 Nope this is for csw hall,,,,,,
 We won’t put anything near the front gate,,,,,,
 nopee,,,,,,
 😎,,,,,,
" Jaahnavi, give the names of Cbitians who paid today",,,,,,
 ha,,,,,,
" Khundhana, Pavan Kumar, Srinivas",,,,,,
" Devika, Farooq Unnisa",,,,,,
 ‎,,,,,,
 Okay,,,,,,
 Final design,,,,,,
 Sett,,,,,,
 haa,,,,,,
 page ki madhyalo undhi ga Inter Collegiate Conference,,,,,,
,,,,,,
 Nice!,,,,,,
 ‎,,,,,,
 Will the first one,,,,,,
 With name,,,,,,
 Be ok!?,,,,,,
 For placards?,,,,,,
 Yeah,,,,,,
 yeah,,,,,,
 What's the breadth of the placard,,,,,,
 Half an A4,,,,,,
 Landscape lo,,,,,,
 Rey no,,,,,,
 Half of A3,,,,,,
 Okay,,,,,,
 😅,,,,,,
 Adi A3 na pakka ? Check once,,,,,,
 We cut A3 into two halves.,,,,,,
 Then it’s A4😅,,,,,,
 Then it's 1/4 of A3 in Portrait style,,,,,,
 😂,,,,,,
 He agreed to this,,,,,,
 Stamp ah idhi?,,,,,,
 Sticker ah,,,,,,
 Stamp,,,,,,
 Woah,,,,,,
 Cost entha,,,,,,
 ₹300,,,,,,
 I hope they'll be that clean on placards too,,,,,,
 They will,,,,,,
 ‎,,,,,,
 Nope they’ll be good,,,,,,
 Oka sari country chupiy,,,,,,
 ‎This message was deleted.,,,,,,
 Kadaa,,,,,,
 😂,,,,,,
 No rey,,,,,,
 They printed,,,,,,
 ‎,,,,,,
 I said the same to Suraj ,,,,,,
,,,,,,
 😂,,,,,,
 Arey tags em avasaram le kada pakka,,,,,,
 Check the tags ,,,,,,
,,,,,,
 Ledhu year,,,,,,
 Aythe set,,,,,,
 What’s the password for the secretariat2017 ??,,,,,,
 cbitmum2017,,,,,,
 Set,,,,,,
 mun*🧐😒😟🙄🤦🏻‍♂,,,,,,
 Banner done!!,,,,,,
 Dikhao!,,,,,,
 ‎,,,,,,
 Oooh niceeee,,,,,,
 Woahh,,,,,,
 Sett 🙌🏼,,,,,,
 Is that revanth behind? 😂,,,,,,
 Ya🤣🤣,,,,,,
 Can anyone get a black stamp pad?,,,,,,
 I have blue,,,,,,
 Get it,,,,,,
 If that doesn’t look good,,,,,,
,,,,,,
 We all have to meet Sandhya Reddy mam tomorrow morning,,,,,,
 We'll have to invite her too,,,,,,
 Guyssssss,,,,,,
 Invitation letters,,,,,,
 Should we all go?,,,,,,
 😐,,,,,,
 Yes. Revannth said,,,,,,
 I’ll be late by an hour tomorrow!!,,,,,,
 What about Sandhya Sree,,,,,,
 That is also there. We have confirm her designations from Sandhya mam,,,,,,
 *to confirm,,,,,,
 Srirag ,,,,,,
,,,,,,
 Advisor ,,,,,,
,,,,,,
 Nope. No one knows her exact designation. That is why I had to postpone.,,,,,,
" Hey , I have internal tomorrow morning,",,,,,,
 All the best😂,,,,,,
 To the hods,,,,,,
 She is promoted to a bigger post ( So Revannth is asking us to confirm before telling them ),,,,,,
 I don't think we need to invite the hods,,,,,,
 Rêvannth said,,,,,,
 We have to,,,,,,
 No need,,,,,,
 Ooh,,,,,,
 Can they give it in one day?,,,,,,
 Yas,,,,,,
 😭,,,,,,
 We have to request them.,,,,,,
 Rey,,,,,,
 Pls change this group icon,,,,,,
 Why ??,,,,,,
 I'm thinking secretariat 2017 group and not replying 😐🤦🏻‍♂,,,,,,
 ‎,,,,,,
 How about this ?,,,,,,
,,,,,,
 yeah,,,,,,
 Craze,,,,,,
" Btw, that is our official Instagram and Twitter account DP 😂",,,,,,
 Ooooh,,,,,,
 And the second of the ICC is traditional right?,,,,,,
 Yess,,,,,,
 Usually every MUN has that thing but it's up to the delegate,,,,,,
 Yeah!!,,,,,,
 Guys are we missing something?,,,,,,
,,,,,,
 Arey ,,,,,,
,,,,,,
,,,,,,
 We can't reg,,,,,,
 Rey,,,,,,
 11 people ,,,,,,
,,,,,,
 Shashank edho winger veypistha annadu,,,,,,
 Paul said they mentioned that they wanted transport,,,,,,
 Rey i wasn't serious,,,,,,
 @919160344049  and @919573066222  you ppl are free tomorrow mrng right?,,,,,,
 Yea,,,,,,
 Yo morning I'm free.... second half i have to go,,,,,,
 For two periods,,,,,,
 Let's decide on the bus route finally and let him know by 12.,,,,,,
 Okay,,,,,,
 How many confirmations do we have now?,,,,,,
 Around 30 from CBITians. After today's calls.,,,,,,
 Cool !!,,,,,,
,,,,,,
 Most of them.,,,,,,
 Set,,,,,,
 We even need to give the letter to Sandhya Reddy mam,,,,,,
 With our names,,,,,,
 Numbers and mail id's,,,,,,
 Sai Harika Bandarupally,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Send in your details,,,,,,
 Ramireddy Vivekreddy ,,,,,,
,,,,,,
,,,,,,
,,,,,,
 R M Revanth Kumar,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Sriraag Govardhana,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Suneel Popuri ,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Jaahnavi Goli,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Guys I guess roll number also,,,,,,
 Yaa,,,,,,
1.60117E+11,,,,,,
1.60117E+11,,,,,,
 ‎You deleted this message.,,,,,,
1.60117E+11,,,,,,
1.60117E+11,,,,,,
1.60117E+11,,,,,,
 Shashank Masireddy,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Get the letters from Deepak....we need to go placement office for permission,,,,,,
 He's getting them.,,,,,,
 Where are you guys!?,,,,,,
 Canteen,,,,,,
 Guys,,,,,,
 We need to get the canteen done,,,,,,
 Where are youu?,,,,,,
 You'll get bus no. 22 route from cbit website,,,,,,
 ‎,,,,,,
 Sett,,,,,,
 ‎,,,,,,
 Sandhya Shree mam won't come on Sunday either,,,,,,
 Hammayyyaa,,,,,,
 So need not make a momento for her,,,,,,
 280 bokka manaki 🤦🏻‍♂,,,,,,
 She called?,,,,,,
 Sandhya ma'am told we would hand over kadha,,,,,,
 Call and ask him once. If we can cancel,,,,,,
 ...,,,,,,
 ‎,,,,,,
 It's fine. We will give to her later. Anyhow we have do to lot of drama for CBITMUN permissions.,,,,,,
 Alright ,,,,p,,
 Yeah,,,,,,
 Arey ,,,,,,
,,,,,,
 Extension cords,,,,,,
 Who is getting cans and who is getting dispensers ??,,,,,,
 Revanth said he'll get it,,,,,,
 Okay,,,,,,
 Revanth is having one,,,,,,
 We'll be needing another one right!?,,,,,,
 I have one. I'll get it.,,,,,,
 Ya 2 committees so 2 cans,,,,,,
" Bouquets, how many ?",,,,,,
 We need a gavel,,,,,,
5,,,,,,
 Wait,,,,,,
 Shreya ,,,,,,
,,,,,,
,,,,,,
4,,,,,,
 Get yours,,,,,,
 I thought i had,,,,,,
 I'm not sure,,,,,,
 Confirm once,,,,,,
" You got the lamp, right!?",,,,,,
 Ya I'll do that,,,,,,
 Yess,,,,,,
 Yeah,,,,,,
 We got the lamp. Its in the main seminar hall,,,,,,
 Vivek you have c-203 ka keys ??,,,,,,
 Ya i took it,,,,,,
 Placement office keys ??,,,,,,
 Who has them ?,,,,,,
 They will open it tomorrow morning at 8,,,,30,,
 Okie,,,,,,
" And guys don’t worry , placards will be ready",,,,,,
 Just the way you guys want them,,,,,,
 We *,,,,,,
 Main seminar Hall keys?,,,,,,
 I have them,,,,,,
 Okay,,,,,,
 Coupons for lunch,,,,,,
 ?,,,,,,
 Prints a ?,,,,,,
 We have to just put stamps on paper,,,,,,
 Cbit MUN stamp ??,,,,,,
 Anything. But we should make sure that one delegate will take only one plate. So it's better if we give them,,,,,,
 If we have time between opening ceremony and luncj,,,,,,
 Lunch,,,,,,
 I'll do it,,,,,,
 Stamps a ?,,,,,,
 Yea,,,,,,
 You'll have many more works to do. Try to finish it today.,,,,,,
 The principal office will have that,,,,,,
 ....,,,,,,
 But it'll be closed kada,,,,,,
 Will the canteen provide plates or should we get disposable ones ?,,,,,,
 I think they will,,,,,,
 Shall I stamp that placard Wala stamp on a4 sheets and get ?,,,,,,
 For what?,,,,,,
 Food coupons,,,,,,
 What about the liaison officers!?,,,,,,
 ‎This message was deleted.,,,,,,
 Ecil,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Bus 22,,,,,,
 Begumpet- lifestyle,,,,,,
 Bus starts at 7,,,,30 near ECIL,,
 2018.docx ‎document omitted,,,,,,
" Guys prints done , will go home and start places work",,,,,,
 Placard *,,,,,,
 How?,,,,,,
 Woah set,,,,,,
 Post the photo once they are done,,,,,,
 Super talented,,,,,,
 I gave her the file😅,,,,,,
 Oh 😂,,,,,,
 Yeah,,,,,,
 I will start after drinking water,,,,,,
 😂,,,,,,
 Tomorrow we may have to arrange lunch for chief guests,,,,,,
 Especially for Shreya,,,,,,
 Give starting time for the bus 22.,,,,,,
 Also other buses if possible,,,,,,
" They might not have lunch, but we have to be prepared. Our CC said last time they got food for Sreekar from outside.",,,,,,
 Oh finr,,,,,,
 Me and Vivek will handle it,,,,,,
 Some person applied today,,,,,,
,,,,,,
 Who has the attendance excel sheet if the sessions ?,,,,,,
 Please forward it to me,,,,,,
 i dont have the gavel,,,,,,
 we will have to get one,,,,,,
 Kaisee,,,,,,
 Guys,,,,,,
 Vaivab das is gonna delegate for Ethiopia in CSW ??,,,,,,
 Yes,,,,,,
 On day 3,,,,,,
 There’s no Ethiopia in the list I got for CSW,,,,,,
 https,,,,//docs.google.com/spreadsheets/d/1DzdNza_e2vbCyEk3IGWidhNhlZs6P4HD51BY3brmswI/edit?usp=drivesdk,,
 Is the handbook ready ?,,,,,,
 This isn’t the final one no ??,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 U mean font size ?,,,,,,
 Nope,,,,,,
 iceland,,,,,,
 Should I leave space around the name ?,,,,,,
 Yes,,,,,,
 Yeah,,,,,,
 Okay,,,,,,
 Can someone get Ethiopia printed ??,,,,,,
 Pleasee,,,,,,
 By Sunday,,,,,,
 Day 3 kadhaa chill,,,,,,
 Haa,,,,,,
 Areyy,,,,,,
 Yeah,,,,,,
 Bolo,,,,,,
 Change the bank's name to SBI,,,,,,
 Can someone make an excel sheet of this and send me asap,,,,,,
 I took for vaivab,,,,,,
 Okay,,,,,,
 Fast😅,,,,,,
 Wait it's SBH only,,,,,,
 N it,,,,,,
 On it*,,,,,,
 Okay,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 Routes operating on Saturday,,,,,,
 Download File (1).pdf • ‎4 pages ‎document omitted,,,,,,
 Saturday anniii ivvali,,,,,,
 I’m doing that ,,,,,,
,,,,,,
 ‎,,,,,,
 Revanth correction,,,,,,
 And ID cards will be provided on the first day of conference.. (I.e 30th March) not April 7th,,,,,,
 Download File (4).pdf • ‎8 pages ‎document omitted,,,,,,
 is that fine if put the photos,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 ‎,,,,,,
 Okay 5 mins,,,,,,
 ‎This message was deleted.,,,,,,
 Any more corrections,,,,,,
 Revannth give dates na for buses,,,,,,
 Revanth*,,,,,,
 I gave it,,,,,,
 Download File (5).pdf • ‎7 pages ‎document omitted,,,,,,
 Is it fine now?,,,,,,
 ‎,,,,,,
 And some other buses are missing I guess,,,,,,
 Saturday'a,,,,,,
 Make it ,,,,,,
,,,,,,
 Where,,,,,,
 22 route num,,,,,,
 Bus routes exact kindha,,,,,,
 Done,,,,,,
 ‎You deleted this message.,,,,,,
 Download File (7).pdf • ‎7 pages ‎document omitted,,,,,,
 Check this,,,,,,
 This is fine,,,,,,
 Indhulo 10 unnai Ra buses saturday,,,,,,
 Naa deggara only 5 photos unnayi ra,,,,,,
 Let's go ahead then?,,,,,,
 Anni route's cover ayyaya ah 5 lo?,,,,,,
 Routes,,,,,,
 Almost,,,,,,
 Sare then put that only,,,,,,
 Done then,,,,,,
 Change the name to,,,,,,
 Conference Handbook,,,,,,
 PDF name ah?,,,,,,
 Yeah,,,,,,
 Android phone users😅,,,,,,
 How many bouquets do we need,,,,,,
 Sandhya mam,,,,,,
,,,,,,
,,,,,,
,,,,,,
 4 bouquets,,,,,,
 Get 5,,,,,,
 Spare,,,,,,
 I think it would be better if we add timings to the first route,,,,,,
 We don't have time veo,,,,,,
 Bro*,,,,,,
 Post it off?,,,,,,
 Suneel,,,,,,
 Yeah,,,,,,
 Post it off,,,,,,
 It’s high time,,,,,,
 Post it at 8,,,,0,,
 Noo,,,,,,
 Tell that it starts at 7,,,,30,,
 Or else very difficult,,,,,,
 Rey i meant the handbook,,,,,,
 I know🙄,,,,,,
 Ecil bus,,,,,,
 That last change,,,,,,
" We need oil, matches and cotton for the lamp!!",,,,,,
 Iam getting them,,,,,,
 Ok,,,,,,
 How many momentos did we order!?,,,,,,
7,,,,,,
 ‎,,,,,,
 People faster,,,,,,
 Entha,,,,,,
250,,,,,,
 Thisko,,,,,,
 Konesa,,,,,,
 There should be a base kada,,,,,,
 ‎,,,,,,
 I’m not finding it at anyplace,,,,,,
 yes,,,,,,
 I’m taking 5,,,,,,
 okay,,,,,,
 Are they artificial ?,,,,,,
 Nope real,,,,,,
 Artificial is shit,,,,,,
 Plastic undi full,,,,,,
 Bauntai kadhaa till tomorrow?,,,,,,
 Repu afternoon varaku baaguntayi ani annadu,,,,,,
 Cool,,,,,,
 Bouquets done,,,,,,
 Momentos?,,,,,,
 I took them,,,,,,
 Finee,,,,,,
 @918790663399 ,,,,,,
,,,,,,
 How many payments did we get??,,,,,,
33,,,,,,
 14 cbitians right?,,,,,,
 Yeah,,,,,,
 Yeah,,,,,,
 ‎,,,,,,
 😍,,,,,,
 Nice! 🙌🏼,,,,,,
 Okay guys! ,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 One huge cheer for everyone ❤️❤️❤️❤️,,,,,,
 ❤❤,,,,,,
 Yaass! ❤❤,,,,,,
 ❤❤,,,,,,
 Yaaayy,,,,,,
 💜,,,,,,
 ‎,,,,,,
" Disec , almost done",,,,,,
 Wow,,,,,,
 Settt,,,,,,
 We should’ve been there to help you,,,,,,
" Haha , next time pakka",,,,,,
 I see Czech Republic ❣💥,,,,,,
 Where's Israel? 🤧😭,,,,,,
 Ipude stamp vesa,,,,,,
 I feel like a visa officer,,,,,,
 😂,,,,,,
 😂,,,,,,
 This is called a DISEC room now 😂😂😂,,,,,,
 😂😂,,,,,,
 What about the liaison officers?,,,,,,
 Can anyone get a dongle,,,,,,
 Also what about water?,,,,,,
 CSE block doesn't have internet ?,,,,,,
 Very very slowl,,,,,,
 No one is dongle these days rey,,,,,,
 Using *,,,,,,
 ☹️,,,,,,
 Wait wait,,,,,,
 If someone has an extra Jio SIM,,,,,,
 I have that Jio go thing,,,,,,
 Jio for*,,,,,,
 Fi*,,,,,,
 Get that then,,,,,,
 ‎,,,,,,
 Settt,,,,,,
 Coooool,,,,,,
 @917995909341,,,,,,
 @917995470449........,,,,,,
 Someone get FAT tape too,,,,,,
,,,,,,
 Don't forget camera 🤭,,,,,,
 Double sided tape,,,,,,
 That won’t stay ra,,,,,,
 Then Which tape.,,,,,,
 Yo,,,,,,
 Fat ga untadi kada ra,,,,,,
 ‎,,,,,,
 Placards - CHECK,,,,,,
 Everything done !!,,,,,,
 Crazy,,,,,,
 Arey,,,,,,
 I found Ethiopia,,,,,,
 Settt,,,,,,
 It wasn’t in alphabetical order,,,,,,
 Andharu poi padukondi ,,,,3,,
,,,,,,
,,,,,,
 Yo,,,,,,
 Water emaindiii,,,,,,
 Tomorrow mrng after we come there,,,,,,
 Okay,,,,,,
 Am really worried about water. ,,,,,,
,,,,,,
 The canteen people also won't be there.,,,,,,
 We’ll talk to him ,,,,,,
,,,,,,
 We’ll ask him water also,,,,,,
 Will he give classes?,,,,,,
 He’ll give glasses😛,,,,,,
 Or by lunch we’ll get them from somewhere,,,,,,
" So , all in all ",,,,,,
,,,,,,
,,,,,,
 Canteen you already have one,,,,,,
 Will we have 50 delegates??😅,,,,,,
 Rey,,,,,,
 Paduko 😂,,,,,,
 Alvate ra ,,,,,,
,,,,,,
 Radu*,,,,,,
 It's 30th March already 😂,,,,,,
 Yeah 😂,,,,,,
 Arey you sleep first,,,,,,
 Shiit yeah,,,,,,
 Anybody up ??,,,,,,
 Morning,,,,,,
 Good morning,,,,,,
 Good Morning!!,,,,,,
" I have a question, do we have Chairperson and Vice-Chairperson or Director and Co-Director",,,,,,
 ??,,,,,,
 Chair and vice chair,,,,,,
 Okay,,,,,,
" Arey , who is chairing CSW ?",,,,,,
 Harika,,,,,,
 And ??,,,,,,
 Did we arrange transportation for the IAS academy people!?,,,,,,
 Yeah,,,,,,
 They are coming out their own transport,,,,,,
 In*,,,,,,
 Don't forget the gavel,,,,,,
 Bouquets,,,,,,
 Arey pizza hut ante which pizza hut?,,,,,,
 Yo,,,,,,
 Lamp ka things,,,,,,
 ?,,,,,,
 Neeke theliyaali😁,,,,,,
 Delegates pH chestunaru,,,,,,
 Jaldi cheppu,,,,,,
 Someone get the tape!!,,,,,,
 Jaahnavi get power bank no,,,,,,
 Donee,,,,,,
 Cello tape ??,,,,,,
 Sareyyy,,,,,,
 Fat tape,,,,,,
 ‎,,,,,,
 This ??,,,,,,
 Yep,,,,,,
 Cool,,,,,,
 Extension cords?,,,,,,
 I'm getting one,,,,,,
 Me too,,,,,,
 Water bottles for Sandhya Reddy mam and Shreya,,,,,,
 One for each committee enough I guess,,,,,,
" Also delegates will need water right from the morning, so better get the glasses and water asap",,,,,,
 Guys,,,,,,
 Yeahhh,,,,,,
 How many plates of food did we take today?,,,,,,
52,,,,,,
 Tomorrow we are gonna take 55 I guess,,,,,,
 Guys tomorrow what if we discuss about the Secretariat somewhere outside college ?,,,,,,
 Lamakhan,,,,,,
 I can't,,,,,,
 Stay back,,,,,,
 Noooo,,,,,,
 Vishwa is going out. ,,,,,,
,,,,,,
 Some other place ?,,,,,,
 Which is like a center point to all our houses ?,,,,,,
 We'll go to lamakaan na,,,,,,
 Carrying our CC's legacy 💥,,,,,,
 Nopeeee,,,,,,
 That place Iam not coming,,,,,,
 GVK is beside only,,,,,,
 We’ll go there,,,,,,
 Not Lamakaan pleaseee,,,,,,
 TITC people?,,,,,,
 Why not lamakaan?,,,,,,
 Idk,,,,,,
 Idhe reason ,,,,,,
,,,,,,
 Not that place,,,,,,
 Eyyy,,,,,,
 No,,,,,,
 Any place except Lamakaan I will come,,,,,,
 Annnnndd,,,,,,
 CBITians ka roll numbers,,,,,,
 Yaaa yaa,,,,,,
 ‎,,,,,,
 Okiee,,,,,,
 Stalk these people ka student accounts,,,,,,
 We have 19 people to choose from then,,,,,,
 Total 53 payments pakka na?,,,,,,
52,,,,,,
 Pakkaaaa?,,,,,,
 Haaan,,,,,,
 I told Suraj 53 ani,,,,,,
 😂,,,,,,
 You give that 700,,,,,,
 Set,,,,,,
 😝,,,,,,
 He was like we got more payments,,,,,,
 Enni anta,,,,,,
 We’ll get more profits 😛,,,,,,
 60s lo,,,,,,
 Nope ,,,,,,
,,,,,,
 Ghanta 🛎,,,,,,
 Bigger ghanta 🔔,,,,,,
 arey lets go to lamakaan,,,,,,
 Yo,,,,,,
 Yo,,,,,,
 Rishika Rednam - C2 - 160117733081,,,,,,
,,,,,,
 Aditya Vardhan - Production - 160117738016,,,,,,
 Neha - C3 - 160117733132.,,,,,,
 Pravallika - IT2 - 160117737074,,,,,,
 we can take 24 bus,,,,,,
 tomorrow,,,,,,
 evening,,,,,,
 Bus drivers Ki call chesara?,,,,,,
 Shizzz,,,,,,
 Who hosted the closing ceremony last year,,,,,,
 Sriraj,,,,,,
 Ipudu who will host ?,,,,,,
 Vartikaaaaa,,,,,,
 Okieeeeee,,,,,,
 She won't 😶,,,,,,
 Adenti???,,,,,,
 ‎This message was deleted.,,,,,,
 Arey how’d it be if we give the guests a sapling instead of a bouquet 😛,,,,,,
 Nice,,,,,,
 Budget mai if it comes,,,,,,
 One bouquet price lo we’ll get 5 saplings,,,,,,
 Pretty they should look but,,,,,,
" First off,Where will we get them!?",,,,,,
 Suchitra,,,,,,
 Really😳,,,,,,
 Haan😪,,,,,,
 Manam conf handbook lo ichina routes tappu,,,,,,
 Shiiit,,,,,,
 Ipudu ela ???,,,,,,
 Reyy routes thapu ela,,,,,,
 Thappu enti?,,,,,,
 Route 68 Is correct.,,,,,,
 Sure,,,,,,
 If you have groups for your committees,,,,,,
 They are correct only,,,,,,
 Pakka!?,,,,,,
" If the bus routes are wrong, just message or post in your committee groups telling the bus routes....if you see any CBIT bus, you can get in",,,,,,
 Shashank get the dispenser,,,,,,
 Ya,,,,,,
 The forest two three that i checked are fine,,,,,,
 First*,,,,,,
 52 route is wrong,,,,,,
 Reyy did we tell the drivers to let people in,,,,,,
 The bus in which we are coming will almost cover all the routes so we’ll manage,,,,,,
 Yaa same,,,,,,
 I told my driver,,,,,,
 Took the certificates,,,,,,
 Finally,,,,,,
 Hamayya,,,,,,
 ‎,,,,,,
 What’s up guys ??,,,,,,
 Who's hosting?,,,,,,
 Good question,,,,,,
 Youuu,,,,,,
 🙄,,,,,,
 None of us should,,,,,,
 We can ,,,,,,
,,,,,,
 We don’t have any other option,,,,,,
 Rey I can't host 😑😶😐,,,,,,
 Sravanthi?,,,,,,
 You!?,,,,,,
 Guys and also the list you decided,,,,,,
 None of us should,,,,,,
 I can’t host also,,,,,,
 Shashank ???,,,,,,
 Yaaaa,,,,,,
 Reyyy,,,,,,
 What reyyy??,,,,,,
 Do it,,,,,,
 No reyy,,,,,,
 It won't look  good reyy,,,,,,
 😂,,,,,,
 How did we forget reminding electrician 🤦🏻‍♂,,,,,,
 Kathal vodu mama,,,,,,
